CIDADE ;N estação;Cód.estação;N;Curso;DATA;Ano;Meses;Sazonal;Pluviosidade;MEI;Vazão;TempAr;TempAmostra;pH;SolsuspTot;SoldissTot;ConcentraMatSusp;Turbidez ;CondEle;OD;CondEsp
Coroatá ;11;33630000;294;Baixo curso;28/09/1992;1992;setembro;estiagem;9,20840168;0.40;45,0857;38;31;5;25,8;;;30;40;0,03;36,9
Caxias;6;33550000;93;Médio Curso;29/09/1992;1992;setembro;estiagem;0;0.40;42,6515;37;31;5;25,6;;55,52;33;45;5,6;45,6
Coroatá ;11;33630000;298;Baixo curso;02/05/1993;1993;maio;chuvoso;133,3684168;1.47;92,9767;34;27;6;53,6;;;54;96;5,9;18,2
Caxias;6;33550000;94;Médio Curso;03/05/1993;1993;maio;chuvoso;84,09623724;1.47;57,0964;31;25;5;33;;65,32;42;66,1;6,7;26,8
Caxias;6;33550000;95;Médio Curso;03/05/1993;1993;maio;chuvoso;84,09623724;1.47;57,0964;31;25;5;33;;65,32;42;73;6,7;63,5
Coroatá ;11;33630000;301;Baixo curso;04/05/1993;1993;maio;chuvoso;133,3684168;1.47;92,9767;30;27,8;5,72;53,6;;;54;30,7;6,44;84,6
Caxias;6;33550000;96;Médio Curso;09/10/1994;1994;outubro;estiagem;26,76872659;1.52;41,2229;33,3;27;5;23,8;;;30;30,55;6,2;9,92
Coroatá ;11;33630000;304;Baixo curso;10/10/1994;1994;outubro;estiagem;15,36659265;1.52;54,989;38;27;6;21,6;;;20;50,62;6,5;26
Caxias;6;33550000;97;Médio Curso;22/03/1995;1995;março;chuvoso;251,7206969;0.17;92,8033;36;24;5;31,8;;86,69;35;60;6,3;26,8
Coroatá ;11;33630000;308;Baixo curso;23/03/1995;1995;março;chuvoso;273,623765;0.17;292,6009;34;21;6;71,4;;209,75;100;88,2;6,2;65
Caxias;6;33550000;98;Médio Curso;06/11/1995;1995;novembro;estiagem;50,25275588;-0.77;47,0848;38;29,5;5,5;;;;45;41,8;6,6;78
Coroatá ;11;33630000;315;Baixo curso;07/11/1995;1995;novembro;estiagem;75,66317034;-0.77;68,4588;39;30;5,5;;;;20;82,8;6,4;43,9
Caxias;6;33550000;99;Médio Curso;21/08/1996;1996;agosto;estiagem;7,67582202;-0.64;47,7051;35;29,7;5;24,8;;;30;46,8;3,1;113,1
Coroatá ;11;33630000;320;Baixo curso;28/08/1996;1996;agosto;estiagem;14,37032413;-0.64;61,3842;33;30,3;5;20,8;;21,36;30;56,6;5,1;34,7
Caxias;6;33550000;100;Médio Curso;09/04/1998;1998;abril;chuvoso;100,1004541;2.61;58,9162;30;28;6;;;84,97;26,1;36;7,37;48
Coroatá ;11;33630000;326;Baixo curso;16/04/1998;1998;abril;chuvoso;156,1236618;2.61;157,8263;30;29;6;;;61,36;66,8;38;6,73;65,5
Caxias;6;33550000;101;Médio Curso;12/06/1998;1998;junho;chuvoso;12,97609735;0.42;42,9989;28;29,7;5,5;;;26,1;42,2;129;5,5;97,4
Coroatá ;11;33630000;329;Baixo curso;19/06/1998;1998;junho;chuvoso;16,90883923;0.42;56,5461;28;28;6;;;192,53;66,8;436,4;5,8;62,8
Caxias;6;33550000;102;Médio Curso;16/09/1998;1998;setembro;estiagem;0;-1.40;37,442;28;28;6,11;;;27,38;15,3;257,2;3,1;54
Coroatá ;11;33630000;334;Baixo curso;23/09/1998;1998;setembro;estiagem;13,10812569;-1.40;40,6584;28,5;28;6,04;;;36,76;27;372,1;3,6;57,7
Caxias;6;33550000;103;Médio Curso;11/02/1999;1999;fevereiro;chuvoso;216,6882424;-1.20;73,1486;30;25,8;5,3;;;112,74;65,9;274;4,5;26,8
Cantanhede ;13;33680000;104;Baixo curso;19/02/1999;1999;fevereiro;chuvoso;324,8481588;-1.20;208,6594;30;27,9;5,68;;;195,69;47,5;411;3,4;54,4
Colinas;4;33480000;105;Alto Curso;22/02/1999;1999;fevereiro;chuvoso;203,840903;-1.20;56,8661;30;27,7;5,91;;;37,87;188;126,7;3,8;57,9
Caxias;6;33550000;106;Médio Curso;20/04/1999;1999;abril;chuvoso;182,0874805;-1.16;95,9974;29;28;5,23;;;94,8;66,8;415;4;8
Cantanhede ;13;33680000;107;Baixo curso;27/04/1999;1999;abril;chuvoso;396,248714;-1.16;792,5766;29;27,6;5,25;;;;349,29;377;3,5;51
Colinas;4;33480000;108;Alto Curso;04/05/1999;1999;maio;chuvoso;56,89439726;-1.33;59,8899;30;26,6;5,77;;;50,69;11,8;2,37;5,5;55,4
Colinas;4;33480000;109;Alto Curso;19/06/1999;1999;junho;chuvoso;5,624264717;-1.26;50,2609;28;25,5;4,85;;;24,29;32;173,2;3,5;63,5
Cantanhede ;13;33680000;110;Baixo curso;23/06/1999;1999;junho;chuvoso;31,12989998;-1.26;88,9857;29;26,6;5,97;;;33,88;65;639,2;4;63,5
Caxias;6;33550000;111;Médio Curso;29/06/1999;1999;junho;chuvoso;7,282779694;-1.26;49,2743;30;24;5,65;;;41,69;35,3;539,1;4;8
Colinas;4;33480000;112;Alto Curso;20/09/1999;1999;setembro;estiagem;10,24806595;-1.16;40,2822;29;27,8;5,53;;;27,46;24,5;127,9;2,4;1092
Cantanhede ;13;33680000;113;Baixo curso;25/09/1999;1999;setembro;estiagem;8,850197792;-1.16;43,1094;30;27,8;5,21;;;178,97;9,74;655,6;6,4;8
Caxias;6;33550000;114;Médio Curso;01/10/1999;1999;outubro;estiagem;29,64609528;-1.33;38,3771;28;28;6,2;;;37,57;146;256,3;3,4;63,5
Caxias;6;33550000;115;Médio Curso;17/02/2000;2000;fevereiro;chuvoso;286,3134136;-1.26;92,9025;30;27;6,7;;;115,63;46,3;99,34;5,7;18,2
Cantanhede ;13;33680000;116;Baixo curso;24/02/2000;2000;fevereiro;chuvoso;322,2632585;-1.26;341,7387;31;27;5,8;;;217,06;102;58,48;3,7;68
Colinas;4;33480000;117;Alto Curso;01/03/2000;2000;março;chuvoso;258,9121146;-1.37;93,7226;29;26,8;5,2;;;66,26;29;27,77;7,8;0
Colinas;4;33480000;118;Alto Curso;30/05/2000;2000;maio;chuvoso;56,28175449;-0.93;84,7314;26;26;5;;;125,4;100;305,8;5;8
Caxias;6;33550000;119;Médio Curso;22/06/2000;2000;junho;chuvoso;23,48859787;-1.18;63,464;26,8;25,8;5,56;;;63,37;53;330,2;4,6;63,5
Cantanhede ;13;33680000;120;Baixo curso;04/07/2000;2000;julho;chuvoso;115,1028638;-0.61;86,7343;30;28;7,6;;;86,52;50,7;138,6;4,6;26,7
Colinas;4;33480000;121;Alto Curso;31/07/2000;2000;julho;chuvoso;6,157055855;-0.61;59,6811;27;27;6,6;;;26,89;9,6;21;5,1;11
Cantanhede ;13;33680000;122;Baixo curso;05/09/2000;2000;setembro;estiagem;29,96425819;-0.35;57,726;34,3;31,3;8;;;50,69;42;57,5;6;47,3
Caxias;6;33550000;123;Médio Curso;06/10/2000;2000;outubro;estiagem;18,84540558;-0.52;46,4684;34;33,5;5,23;;;41,92;69,9;492,7;3,5;43,2
Caxias;6;33550000;124;Médio Curso;16/11/2000;2000;novembro;estiagem;24,40836334;-0.86;45,2053;35;32;7;;;62,24;11,7;0,531;8;63,8
Colinas;4;33480000;125;Alto Curso;23/11/2000;2000;novembro;estiagem;43,48243093;-0.86;43,9805;38,1;29,6;6;;;31,77;17,7;18,2;6,7;31,8
Cantanhede ;13;33680000;126;Baixo curso;28/11/2000;2000;novembro;estiagem;12,60571671;-0.86;51,2558;30;28,6;6;;;44,97;18,5;71;3,3;68
Colinas;4;33480000;127;Alto Curso;15/05/2001;2001;maio;chuvoso;15,29510593;-0.51;50,0954;27;27;6,7;;;68,37;36,8;24,4;5,5;9,92
Cantanhede ;13;33680000;128;Baixo curso;18/05/2001;2001;maio;chuvoso;166,9548402;-0.51;259,3124;29;28,5;7,2;;;87,91;163;1238,1;6;65
Caxias;6;33550000;129;Médio Curso;21/06/2001;2001;junho;chuvoso;59,84005451;-0.73;53,6657;30;29;6;;;45,47;135,7;407,68;7;1060
Colinas;4;33480000;130;Alto Curso;28/07/2001;2001;julho;chuvoso;8,218786478;0.04;40,4794;27;27;6;;;29,96;11,8;13,486;8,5;11
Cantanhede ;13;33680000;131;Baixo curso;03/08/2001;2001;agosto;estiagem;5,807107925;0.38;50,1794;30;28,6;6,8;;;33,06;60,2;61,838;5,5;50,1
Caxias;6;33550000;132;Médio Curso;21/08/2001;2001;agosto;estiagem;7,907633901;0.38;40,336;31;30;6;;;34,12;102;264,9;7,7;16
Cantanhede ;13;33680000;133;Baixo curso;09/10/2001;2001;outubro;estiagem;23,80188656;-0.22;42,8693;28;29;6,23;;;43,54;14,19;43,2;5;124,2
Colinas;4;33480000;134;Alto Curso;09/11/2001;2001;novembro;estiagem;113,4594851;-0.28;41,6151;30;28,1;6,65;;;290,51;32,7;28,92;6,2;13,46
Caxias;6;33550000;135;Médio Curso;23/11/2001;2001;novembro;estiagem;53,08617258;-0.28;43,6492;35;28,2;5,8;;;42,53;70,65;246,89;6,7;9,92
Cantanhede ;13;33680000;136;Baixo curso;06/02/2002;2002;fevereiro;chuvoso;145,4992068;-0.26;139,146;28,5;29,3;6,57;;;76,54;108,39;83,15;7;15,39
Colinas;4;33480000;137;Alto Curso;03/04/2002;2002;abril;chuvoso;107,6301271;-0.36;51,9513;28,5;28,7;4,9;;;46,33;17,7;28,3;8,5;33
Caxias;6;33550000;138;Médio Curso;27/04/2002;2002;abril;chuvoso;207,5723095;-0.36;82,3385;30,7;29,8;6,48;;;;26,4;102,9;5,2;34,7
Cantanhede ;13;33680000;139;Baixo curso;10/05/2002;2002;maio;chuvoso;214,6946716;-0.14;320,788;31;29;5,62;;;;70,65;62,9;7;96,7
Colinas;4;33480000;140;Alto Curso;03/06/2002;2002;junho;chuvoso;11,4035759;0.34;42,0705;27,4;28,2;5,22;;;;20,5;165,75;7,2;9,92
Caxias;6;33550000;141;Médio Curso;19/07/2002;2002;julho;estiagem;13,29909086;0.44;41,3912;28,6;29,3;6,88;;;;24,2;52,72;7;103,8
Cantanhede ;13;33680000;142;Baixo curso;02/08/2002;2002;agosto;estiagem;7,539859056;1.01;42,3235;28,17;30,5;5,23;;;;28,8;47,3;6,2;113,1
Mirador;2;33420000;336;Alto Curso;15/08/2002;2002;agosto;estiagem;7,717417717;1.01;12,9319;34;28,5;5,65;;;;25,8;61,8;8,8;8
Colinas;4;33480000;144;Alto Curso;19/08/2002;2002;agosto;estiagem;4,092198372;1.01;35,0822;25,9;27,3;6,25;;;;36,6;26,7;6,5;57,7
Governador Eugenio Barros (MONTEVIDEU);3;33530000;341;Médio Curso;20/08/2002;2002;agosto;estiagem;7,717417717;1.01;38,6018;31;27,3;5,78;;;;41,87;12,7;7;9,92
Cantanhede ;13;33680000;146;Baixo curso;02/09/2002;2002;setembro;estiagem;15,52429438;0.88;40,698;31;30,5;5,23;;;;20,05;47,3;6,2;26,3
Mirador (São Felinho);1;33410000;147;Alto Curso;17/09/2002;2002;setembro;estiagem;25,72739983;0.88;51,7786;32;28,5;6,58;;;;31,9;35,3;9,5;9
